image,trajectory_points
,
VAE_img_1.jpg,"[[556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544], [556.6338187022516, 46.958963506027544]]"
VAE_img_2.jpg,"[[507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425], [507.33047463663314, 47.398391951094425]]"
VAE_img_3.jpg,"[[479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454], [479.6203273510139, 46.30762728115454]]"
VAE_img_4.jpg,"[[275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564], [275.48057924097253, 41.327707968090564]]"
VAE_img_5.jpg,"[[275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483], [275.62912019090436, 42.41021940241483]]"
VAE_img_6.jpg,"[[337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916], [337.8817128846654, 33.002937279925916]]"
VAE_img_7.jpg,"[[444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704], [444.14152969170055, 45.861458879204704]]"
VAE_img_8.jpg,"[[142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606], [142.2264677872792, 49.09196772270606]]"
VAE_img_9.jpg,"[[695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996], [695.0112883055199, 42.674034312399996]]"
